fk_reporte_users,fk_reporte_tipo,fecha_creacion,fecha_resuelto,latitud,longitud,codigo_postal
777781de-b3e5-435d-b1ec-c338e2d534f2,39,2024-12-31T01:14:20.675588,,19.40644,-99.164686,01000
c456ad34-ae59-4960-88f3-bb5b5f6f1783,6,2024-12-14T00:50:24.675588,,19.307515,-99.182549,
c456ad34-ae59-4960-88f3-bb5b5f6f1783,52,2025-02-15T07:23:44.675588,,19.414563,-99.258495,06470
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,19,2025-03-08T06:23:47.675588,,19.393906,-99.263937,01000
c456ad34-ae59-4960-88f3-bb5b5f6f1783,1,2025-01-19T10:47:06.675588,,19.544096,-99.284895,01000
395f67a2-b8a9-45e5-91c4-cae02e66c936,52,2025-02-02T19:52:54.675588,,19.313833,-99.287599,01000
777781de-b3e5-435d-b1ec-c338e2d534f2,27,2024-11-14T03:07:49.675588,,19.458141,-99.053857,06470
ce2bc421-50b4-46ee-97c3-dd7c3f7d62ad,39,2025-03-20T18:08:59.675588,,19.302065,-99.2928,06470
6eaf1c57-338a-48f0-a5b7-63e86966b4a4,48,2024-12-23T08:16:48.675588,,19.534403,-99.161337,06470
c456ad34-ae59-4960-88f3-bb5b5f6f1783,57,2024-11-15T13:33:15.675588,2024-11-16T09:33:15.675588,19.384592,-99.160583,06470
6d1cefac-504a-40ea-9983-cb638b3de3b3,57,2025-04-08T04:35:43.675588,,19.538426,-99.081409,04200
777781de-b3e5-435d-b1ec-c338e2d534f2,19,2024-12-15T00:30:15.675588,,19.494793,-99.116344,04200
c456ad34-ae59-4960-88f3-bb5b5f6f1783,3,2024-12-13T13:34:47.675588,,19.492973,-99.154469,04200
8e3b954e-dc69-4721-b2f3-01613f067ce4,3,2025-03-21T18:50:08.675588,,19.537248,-99.053061,06470
c456ad34-ae59-4960-88f3-bb5b5f6f1783,6,2024-12-01T05:11:00.675588,,19.412651,-99.139818,04200
c456ad34-ae59-4960-88f3-bb5b5f6f1783,57,2024-12-14T15:06:25.675588,,19.45097,-99.125623,09030
395f67a2-b8a9-45e5-91c4-cae02e66c936,57,2024-12-20T14:01:01.675588,,19.424971,-99.074293,09030
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,48,2024-11-10T23:58:12.675588,,19.33992,-99.06705,01000
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,6,2025-03-10T08:32:37.675588,,19.527369,-99.299327,04200
6eaf1c57-338a-48f0-a5b7-63e86966b4a4,39,2024-11-11T13:15:45.675588,,19.480214,-99.28294,06470
8e3b954e-dc69-4721-b2f3-01613f067ce4,44,2025-02-02T17:52:05.675588,,19.454749,-99.214656,04200
aaa43b55-8601-41a6-b395-f04faeeef174,27,2024-12-14T15:02:09.675588,,19.404522,-99.181064,06470
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,39,2024-11-03T10:29:53.675588,,19.444477,-99.14859,06470
15ee040d-6e71-4459-82e6-00820161d282,19,2025-02-15T14:07:33.675588,,19.528849,-99.297374,09030
15ee040d-6e71-4459-82e6-00820161d282,52,2025-03-05T11:00:02.675588,,19.509038,-99.050913,01000
8e3b954e-dc69-4721-b2f3-01613f067ce4,27,2025-01-05T00:55:27.675588,,19.457339,-99.053681,01000
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,1,2025-01-16T15:42:32.675588,,19.389274,-99.085368,06470
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,27,2025-02-17T20:03:34.675588,,19.307751,-99.280455,
15ee040d-6e71-4459-82e6-00820161d282,44,2025-02-21T15:05:42.675588,2025-02-22T11:05:42.675588,19.457207,-99.194642,09030
6eaf1c57-338a-48f0-a5b7-63e86966b4a4,48,2025-01-26T17:23:23.675588,2025-01-27T18:23:23.675588,19.441698,-99.101275,
15ee040d-6e71-4459-82e6-00820161d282,3,2025-02-06T13:36:20.675588,,19.413282,-99.251738,01000
8e3b954e-dc69-4721-b2f3-01613f067ce4,57,2025-03-19T15:07:35.675588,,19.370184,-99.0906,
aaa43b55-8601-41a6-b395-f04faeeef174,52,2025-01-10T04:33:37.675588,,19.361021,-99.167153,06470
aaa43b55-8601-41a6-b395-f04faeeef174,19,2025-02-12T10:24:59.675588,,19.404602,-99.296628,04200
777781de-b3e5-435d-b1ec-c338e2d534f2,1,2024-12-05T22:26:13.675588,,19.544423,-99.149187,04200
8e3b954e-dc69-4721-b2f3-01613f067ce4,1,2025-03-06T02:03:46.675588,,19.397267,-99.237771,09030
6d1cefac-504a-40ea-9983-cb638b3de3b3,39,2024-11-08T02:16:37.675588,2024-11-11T01:16:37.675588,19.539513,-99.134302,04200
c456ad34-ae59-4960-88f3-bb5b5f6f1783,3,2025-04-20T15:48:06.675588,,19.504698,-99.148517,06470
395f67a2-b8a9-45e5-91c4-cae02e66c936,39,2025-04-24T15:18:22.675588,2025-04-25T11:18:22.675588,19.522738,-99.087694,06470
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,19,2025-02-01T16:13:28.675588,,19.380993,-99.203854,04200
7b30ab04-1271-42e2-8592-ad6ba56fe4c5,27,2024-11-30T14:17:49.675588,2024-12-03T10:17:49.675588,19.527771,-99.13881,01000
6d1cefac-504a-40ea-9983-cb638b3de3b3,57,2025-03-29T18:16:54.675588,2025-03-31T08:16:54.675588,19.411839,-99.213239,
aaa43b55-8601-41a6-b395-f04faeeef174,39,2025-01-04T17:36:26.675588,,19.474652,-99.13369,
777781de-b3e5-435d-b1ec-c338e2d534f2,3,2024-11-26T09:03:24.675588,,19.393212,-99.061594,06470
c456ad34-ae59-4960-88f3-bb5b5f6f1783,57,2024-11-23T03:51:48.675588,,19.431686,-99.139432,01000
8e3b954e-dc69-4721-b2f3-01613f067ce4,52,2025-02-13T23:52:14.675588,2025-02-16T06:52:14.675588,19.504487,-99.219171,01000
15ee040d-6e71-4459-82e6-00820161d282,39,2025-02-21T08:07:57.675588,,19.536187,-99.104273,06470
6d1cefac-504a-40ea-9983-cb638b3de3b3,48,2024-12-20T12:21:24.675588,2024-12-21T19:21:24.675588,19.491513,-99.213015,
395f67a2-b8a9-45e5-91c4-cae02e66c936,1,2025-02-04T03:50:11.675588,,19.354306,-99.192035,04200
8e3b954e-dc69-4721-b2f3-01613f067ce4,1,2025-02-04T23:59:50.675588,2025-02-05T01:59:50.675588,19.310433,-99.194347,06470
8e3b954e-dc69-4721-b2f3-01613f067ce4,48,2024-12-16T03:09:19.675588,2024-12-18T02:09:19.675588,19.540049,-99.056268,09030
395f67a2-b8a9-45e5-91c4-cae02e66c936,44,2025-01-03T15:40:04.675588,,19.504953,-99.133629,06470
15ee040d-6e71-4459-82e6-00820161d282,27,2024-11-15T10:26:21.675588,2024-11-16T11:26:21.675588,19.421351,-99.235589,01000
8e3b954e-dc69-4721-b2f3-01613f067ce4,52,2024-12-05T03:14:53.675588,2024-12-05T19:14:53.675588,19.350097,-99.06722,06470
6eaf1c57-338a-48f0-a5b7-63e86966b4a4,44,2025-03-22T16:33:22.675588,,19.534205,-99.128146,09030
15ee040d-6e71-4459-82e6-00820161d282,1,2024-12-20T11:32:29.675588,,19.31051,-99.143163,
ce2bc421-50b4-46ee-97c3-dd7c3f7d62ad,48,2024-10-31T10:06:02.675588,2024-11-02T16:06:02.675588,19.529303,-99.073672,01000
aaa43b55-8601-41a6-b395-f04faeeef174,19,2025-04-07T14:03:12.675588,,19.497587,-99.221782,06470
ce2bc421-50b4-46ee-97c3-dd7c3f7d62ad,1,2025-02-01T23:49:30.675588,,19.360634,-99.290824,
c456ad34-ae59-4960-88f3-bb5b5f6f1783,52,2025-02-07T10:22:32.675588,2025-02-10T08:22:32.675588,19.335024,-99.248746,
15ee040d-6e71-4459-82e6-00820161d282,6,2024-12-01T18:54:02.675588,,19.384469,-99.150164,06470
777781de-b3e5-435d-b1ec-c338e2d534f2,27,2025-03-08T13:39:12.675588,,19.432122,-99.140565,01000
